data,confirmados,recuperados,mortes,restricao
2020-03-19,1,0,0,
2020-03-20,1,0,0,
2020-03-21,1,0,0,
2020-03-22,1,0,0,
2020-03-23,1,0,0,
2020-03-24,1,0,0,
2020-03-25,1,0,0,
2020-03-26,2,0,0,
2020-03-27,2,0,0,
2020-03-28,2,0,0,
2020-03-29,2,0,0,
2020-03-30,3,0,0,
2020-03-31,4,0,0,
2020-04-01,4,0,0,
2020-04-02,4,0,0,
2020-04-03,6,0,0,
2020-04-04,7,0,0,
2020-04-05,7,0,0,
2020-04-06,8,0,0,
2020-04-07,12,0,0,
2020-04-08,16,0,0,
2020-04-09,19,0,0,
2020-04-10,19,0,0,
2020-04-11,20,0,0,
2020-04-12,21,0,0,
2020-04-13,27,0,0,
2020-04-14,28,0,0,
2020-04-15,29,4,0,
2020-04-16,31,4,0,
2020-04-17,35,5,0,
2020-04-18,45,5,1,
2020-04-19,54,9,1,
2020-04-20,63,12,1,
2020-04-21,72,12,1,
2020-04-22,82,12,2,
2020-04-23,102,21,3,
2020-04-24,111,21,3,
2020-04-25,134,21,3,
2020-04-26,151,24,4,
2020-04-27,164,24,5,
2020-04-28,170,24,5,
2020-04-29,178,29,5,
2020-04-30,193,29,5,
2020-05-01,212,29,5,
2020-05-02,220,54,5,
2020-05-03,238,54,5,
2020-05-04,246,59,7,
2020-05-05,249,59,10,
2020-05-06,269,62,10,
2020-05-07,308,71,10,
2020-05-08,325,78,10,
2020-05-09,354,78,11,
2020-05-10,367,78,11,
2020-05-11,372,96,12,
2020-05-12,393,96,12,20
2020-05-13,436,107,12,
2020-05-14,484,110,15,
2020-05-15,510,113,15,
2020-05-16,564,118,15,
2020-05-17,580,119,15,
2020-05-18,588,161,20,
2020-05-19,608,161,22,
2020-05-20,624,170,24,
2020-05-21,672,175,25,
2020-05-22,691,175,25,
2020-05-23,714,193,25,
2020-05-24,727,193,27,
2020-05-25,737,206,29,
2020-05-26,756,206,31,
2020-05-27,781,206,33,
2020-05-28,820,227,34,
2020-05-29,853,239,35,
2020-05-30,870,240,35,
2020-05-31,933,248,36,
2020-06-01,960,248,37,18
2020-06-02,1000,275,39,
2020-06-03,1033,300,43,
2020-06-04,1083,324,46,
2020-06-05,1112,342,47,
2020-06-06,1149,376,48,
2020-06-07,1177,376,48,
2020-06-08,1219,405,50,
2020-06-09,1264,465,50,
2020-06-10,1287,515,50,
2020-06-11,1334,527,51,
2020-06-12,1378,542,51,
2020-06-13,1396,543,51,
2020-06-14,1450,543,52,
2020-06-15,1482,604,55,
2020-06-16,1569,628,56,
2020-06-17,1643,681,57,
2020-06-18,1696,719,59,
2020-06-19,1741,750,59,
2020-06-20,1756,769,60,
2020-06-21,1823,848,62,
2020-06-22,1879,933,63,
2020-06-23,1915,985,64,
2020-06-24,2031,1006,64,
2020-06-25,2131,1023,64,
2020-06-26,2162,1023,66,
2020-06-27,2337,1034,66,
2020-06-28,2394,1044,66,
2020-06-29,2457,1058,67,
2020-06-30,2520,1092,67,
2020-07-01,2676,1111,67,
2020-07-02,2751,1111,69,
2020-07-03,2863,1136,72,
2020-07-04,2973,1180,78,
2020-07-05,2991,1216,78,
2020-07-06,3018,1230,78,
2020-07-07,3063,1283,79,
2020-07-08,3193,1315,79,
2020-07-09,3333,1353,79,
2020-07-10,3431,1395,79,
2020-07-11,3495,1453,79,
2020-07-12,3578,1462,81,
