data,confirmados,recuperados,mortes,isolamento,restricao,uti
2020-03-31,1,0,0,,,
2020-04-01,1,0,0,,,
2020-04-02,1,0,0,,,
2020-04-03,2,0,0,,,
2020-04-04,5,0,0,,,
2020-04-05,6,0,0,,,
2020-04-06,6,0,0,,,
2020-04-07,7,0,0,,,
2020-04-08,15,0,0,,,
2020-04-09,15,0,0,,,
2020-04-10,15,7,0,,,
2020-04-11,15,7,0,,,
2020-04-12,19,11,0,,,
2020-04-13,20,11,1,,,
2020-04-14,20,11,1,,,
2020-04-15,20,17,1,,,
2020-04-16,20,17,1,,,
2020-04-17,20,17,1,,,
2020-04-18,23,17,1,,,
2020-04-19,23,18,1,,,
2020-04-20,23,18,1,,,
2020-04-21,26,18,1,,,
2020-04-22,26,18,1,,,
2020-04-23,26,18,1,,,
2020-04-24,28,18,1,,,
2020-04-25,28,18,1,,,
2020-04-26,28,20,2,,,
2020-04-27,28,20,2,,,
2020-04-28,28,20,3,,,
2020-04-29,31,20,3,,,
2020-04-30,31,24,3,,,
2020-05-01,33,24,3,,,
2020-05-02,34,26,3,,,
2020-05-03,35,26,4,,,
2020-05-04,35,26,4,,,
2020-05-05,35,26,4,,,
2020-05-06,35,26,4,,,
2020-05-07,43,26,4,,,
2020-05-08,43,27,4,,,
2020-05-09,45,27,4,,,
2020-05-10,45,27,4,,,
2020-05-11,49,33,4,,,
2020-05-12,50,37,4,,,
2020-05-13,58,37,4,,,
2020-05-14,58,37,4,,,
2020-05-15,63,37,4,,,
2020-05-16,74,40,4,,,
2020-05-17,75,44,4,,,
2020-05-18,83,47,4,,,
2020-05-19,95,47,4,,,
2020-05-20,97,51,4,,,
2020-05-21,97,51,4,,,
2020-05-22,106,57,4,,,
2020-05-23,107,63,4,,,
2020-05-24,109,66,4,,,
2020-05-25,110,66,5,,,
2020-05-26,117,72,5,,,
2020-05-27,122,87,5,,,
2020-05-28,128,97,5,,,
2020-05-29,134,100,5,,,
2020-05-30,145,100,5,,,
2020-05-31,152,115,5,,,
2020-06-01,159,124,5,,61,
2020-06-02,178,137,5,,,
2020-06-03,198,155,5,,,
2020-06-04,217,178,5,,,
2020-06-05,223,188,5,,,
2020-06-06,256,216,5,,,
2020-06-07,262,225,5,,,
2020-06-08,268,228,5,,,
2020-06-09,282,244,5,,,
2020-06-10,313,257,5,,,
2020-06-11,329,270,5,,,
2020-06-12,341,282,5,,,
2020-06-13,357,299,5,,,
2020-06-14,361,304,5,,,
2020-06-15,369,316,6,,,
2020-06-16,393,335,6,,,
2020-06-17,406,338,8,,,
2020-06-18,446,351,10,,,
2020-06-19,460,356,12,,,
2020-06-20,486,360,12,,,
2020-06-21,491,361,13,,,
2020-06-22,523,401,13,,,
2020-06-23,555,421,14,,,
2020-06-24,573,427,14,,,
2020-06-25,599,437,14,,,
2020-06-26,631,462,14,,,
2020-06-27,638,463,14,,,
2020-06-28,645,464,14,,,
2020-06-29,674,472,15,,,
2020-06-30,729,494,16,,,
2020-07-01,798,523,16,,,
2020-07-02,832,540,18,,,
2020-07-03,884,564,19,,,
2020-07-04,902,595,19,,,
2020-07-05,912,602,20,,,
2020-07-06,934,710,21,,,
2020-07-07,986,814,22,,,
2020-07-08,1069,841,22,,,
2020-07-09,1075,853,22,,,
2020-07-10,1101,902,22,,,
2020-07-11,1151,902,22,,,
2020-07-12,1155,910,23,,,
2020-07-13,1188,925,23,,,
2020-07-14,1231,960,23,,,
2020-07-15,1286,965,24,,,
2020-07-16,1365,966,24,,,
2020-07-17,1524,1171,25,,,
2020-07-18,1587,1206,27,,,
2020-07-19,1610,1210,33,,,
2020-07-20,1643,1301,33,,,
2020-07-21,1773,1396,35,,,70
2020-07-22,1860,1462,38,,,71.7
2020-07-23,1950,1507,42,,,66.7
2020-07-24,2111,1566,42,,,80
2020-07-25,2152,1582,43,,,78.3
2020-07-26,2174,1584,45,,,78.3
